District,Temperature,Humidity,Pressure,WindSpeed,Precipitation,CloudCover,DayOfYear,MonsoonPhase,Weather
Ernakulam,31.53,68.13,1007.98,8.07,2.39,70.67,312,NorthEast Monsoon,Cloudy
Alappuzha,35.21,66.9,1007.68,5.57,2.48,77.33,97,Pre-Monsoon,Cloudy
Kannur,26.98,77.65,1016.04,14.96,1.16,73.17,346,Post-Monsoon,Cloudy
Kozhikode,34.03,82.53,1017.0,10.46,10.3,49.67,254,SouthWest Monsoon,Rainy
Thrissur,27.25,77.3,1000.64,15.69,3.62,65.9,66,Post-Monsoon,Cloudy
Kannur,33.23,77.37,1007.27,9.64,2.44,70.01,80,Post-Monsoon,Cloudy
Kottayam,27.36,69.93,1004.85,8.54,7.53,58.96,164,SouthWest Monsoon,Cloudy
Ernakulam,31.3,87.05,1011.63,5.73,0.19,47.34,338,Post-Monsoon,Cloudy
Malappuram,29.54,76.3,1012.22,8.26,31.65,62.99,231,SouthWest Monsoon,Rainy
Pathanamthitta,23.64,95.28,1006.2,10.07,16.22,58.02,329,NorthEast Monsoon,Rainy
Ernakulam,34.75,81.45,1007.23,12.61,0.46,82.84,145,Pre-Monsoon,Cloudy
Kozhikode,26.31,73.59,1010.88,12.03,10.95,51.39,335,Post-Monsoon,Rainy
Kozhikode,25.19,63.55,1008.66,11.02,1.86,52.97,14,Post-Monsoon,Cloudy
Thrissur,27.08,72.17,1014.69,9.61,0.55,74.88,281,NorthEast Monsoon,Cloudy
Kottayam,36.59,81.49,1006.34,13.06,4.22,64.94,295,NorthEast Monsoon,Cloudy
Alappuzha,25.24,62.99,1012.7,12.14,10.14,77.51,52,Post-Monsoon,Rainy
Thrissur,29.53,75.66,1008.94,14.21,0.87,65.26,360,Post-Monsoon,Cloudy
Thrissur,25.63,77.74,1015.43,12.04,17.57,51.34,123,Pre-Monsoon,Rainy
Pathanamthitta,26.14,76.08,1011.73,18.89,1.72,98.05,164,SouthWest Monsoon,Cloudy
Idukki,24.2,77.32,1003.06,8.28,4.21,33.68,139,Pre-Monsoon,Cloudy
Kottayam,29.95,78.28,1004.94,11.14,5.47,68.06,116,Pre-Monsoon,Cloudy
Kollam,28.52,75.72,1004.97,20.77,2.16,59.75,216,SouthWest Monsoon,Cloudy
Thrissur,25.61,93.76,1008.8,8.64,10.52,40.07,309,NorthEast Monsoon,Rainy
Wayanad,31.62,77.07,1008.38,16.0,24.41,74.28,83,Post-Monsoon,Rainy
Kasaragod,31.94,60.97,1010.57,9.32,2.62,73.07,226,SouthWest Monsoon,Cloudy
Idukki,30.22,68.91,1017.15,9.72,0.78,80.92,145,Pre-Monsoon,Cloudy
Kollam,32.51,86.82,1012.97,9.67,10.79,72.24,138,Pre-Monsoon,Rainy
Wayanad,27.95,85.6,1009.0,9.51,3.73,60.56,128,Pre-Monsoon,Cloudy
Kottayam,29.97,77.8,1006.82,14.18,6.74,100.0,315,NorthEast Monsoon,Cloudy
Thiruvananthapuram,27.96,70.71,1014.98,13.15,2.22,35.8,93,Pre-Monsoon,Cloudy
Wayanad,24.48,87.69,1013.37,6.51,0.6,73.02,188,SouthWest Monsoon,Rainy
Malappuram,29.66,69.3,1019.35,10.77,9.8,70.54,56,Post-Monsoon,Cloudy
Idukki,29.48,84.99,1014.01,14.47,3.3,85.32,352,Post-Monsoon,Cloudy
Kannur,28.91,78.57,1009.27,2.68,0.58,74.05,130,Pre-Monsoon,Cloudy
Wayanad,30.12,86.0,1014.72,10.4,1.04,69.74,41,Post-Monsoon,Rainy
Palakkad,33.24,77.95,1018.97,11.01,6.76,67.77,50,Post-Monsoon,Cloudy
Thiruvananthapuram,28.39,93.68,1007.36,13.6,10.43,73.58,356,Post-Monsoon,Rainy
Kozhikode,26.13,67.24,1006.2,11.54,1.62,93.29,357,Post-Monsoon,Cloudy
Kozhikode,28.26,86.6,1004.72,11.04,1.65,39.53,322,NorthEast Monsoon,Cloudy
Malappuram,28.59,79.23,1009.34,8.75,0.54,39.06,183,SouthWest Monsoon,Cloudy
Wayanad,31.95,76.37,1007.42,10.96,2.71,47.91,20,Post-Monsoon,Cloudy
Wayanad,29.32,92.04,1009.57,11.19,11.1,41.7,294,NorthEast Monsoon,Rainy
Kasaragod,25.56,73.86,1008.88,16.73,0.9,73.07,55,Post-Monsoon,Cloudy
Kasaragod,31.42,83.87,1012.67,6.85,7.55,78.92,16,Post-Monsoon,Cloudy
Kasaragod,30.94,82.98,1014.59,5.62,1.24,40.79,309,NorthEast Monsoon,Cloudy
Pathanamthitta,29.32,72.16,1011.66,7.52,1.13,36.84,231,SouthWest Monsoon,Sunny
Wayanad,31.84,88.6,1011.04,8.55,0.08,50.33,361,Post-Monsoon,Cloudy
Ernakulam,32.35,98.17,1010.89,10.92,5.54,34.44,350,Post-Monsoon,Cloudy
Alappuzha,27.87,94.96,1005.69,14.4,2.45,41.92,136,Pre-Monsoon,Cloudy
Palakkad,26.3,85.18,1013.1,10.77,18.2,86.33,72,Post-Monsoon,Rainy
Pathanamthitta,28.96,80.18,1011.03,7.85,0.27,53.6,321,NorthEast Monsoon,Cloudy
Kottayam,30.61,88.53,998.57,4.68,0.34,83.61,125,Pre-Monsoon,Rainy
Pathanamthitta,28.68,89.74,1011.72,10.04,1.67,47.33,236,SouthWest Monsoon,Cloudy
Ernakulam,26.03,82.73,1009.38,15.27,3.86,31.47,23,Post-Monsoon,Cloudy
Kottayam,29.49,62.88,1012.74,8.46,6.9,67.72,225,SouthWest Monsoon,Cloudy
Palakkad,22.9,69.55,1012.82,10.18,1.8,46.36,327,NorthEast Monsoon,Cloudy
Ernakulam,28.03,85.68,1016.48,14.45,2.03,67.3,348,Post-Monsoon,Rainy
Kollam,31.55,84.6,1006.47,3.65,6.35,78.6,205,SouthWest Monsoon,Cloudy
Alappuzha,31.72,78.3,1002.31,9.59,2.31,93.14,297,NorthEast Monsoon,Cloudy
Palakkad,20.0,84.2,1017.03,12.1,5.29,64.28,18,Post-Monsoon,Cloudy
Wayanad,28.42,70.29,1015.04,8.71,1.89,100.0,157,SouthWest Monsoon,Cloudy
Kasaragod,30.8,80.57,1006.65,10.46,23.93,75.05,243,SouthWest Monsoon,Rainy
Kollam,25.47,79.31,1007.69,11.37,12.42,62.45,30,Post-Monsoon,Rainy
Malappuram,27.88,66.29,1010.48,11.61,4.42,76.43,279,NorthEast Monsoon,Cloudy
Palakkad,32.62,82.7,1010.21,16.17,16.21,24.98,33,Post-Monsoon,Rainy
Malappuram,27.55,69.8,1005.57,9.15,4.13,58.46,3,Post-Monsoon,Cloudy
Kottayam,33.8,89.01,1013.76,11.39,9.52,35.3,209,SouthWest Monsoon,Cloudy
Kollam,26.78,84.68,1010.98,9.99,15.25,80.51,51,Post-Monsoon,Rainy
Alappuzha,33.23,76.65,1003.01,17.37,18.62,69.14,266,SouthWest Monsoon,Rainy
Wayanad,29.1,73.86,1010.33,10.93,17.86,40.87,337,Post-Monsoon,Rainy
Wayanad,26.37,70.87,1013.13,12.36,10.32,20.35,238,SouthWest Monsoon,Rainy
Ernakulam,33.24,78.19,1007.24,12.43,2.51,68.98,287,NorthEast Monsoon,Cloudy
Wayanad,25.38,88.18,1008.83,7.47,24.2,31.99,3,Post-Monsoon,Rainy
Kannur,26.61,79.29,1010.72,11.65,7.56,61.25,33,Post-Monsoon,Cloudy
Thrissur,30.47,80.62,1000.46,14.22,9.53,97.06,308,NorthEast Monsoon,Cloudy
Pathanamthitta,29.24,73.16,1009.02,0.78,8.03,72.82,296,NorthEast Monsoon,Cloudy
Kasaragod,29.82,77.96,1011.65,6.87,4.25,35.45,35,Post-Monsoon,Cloudy
Thiruvananthapuram,27.9,80.19,1010.54,16.26,3.9,58.01,36,Post-Monsoon,Cloudy
Alappuzha,25.4,82.99,1016.76,1.76,2.67,68.34,346,Post-Monsoon,Cloudy
Kollam,27.04,80.59,1013.59,16.18,0.67,59.46,128,Pre-Monsoon,Cloudy
Thrissur,32.96,85.59,1007.94,8.28,4.96,68.69,88,Post-Monsoon,Rainy
Alappuzha,24.99,87.24,1009.55,10.87,1.94,62.77,106,Pre-Monsoon,Cloudy
Kollam,33.93,94.23,1011.75,13.18,1.07,58.09,142,Pre-Monsoon,Cloudy
Kasaragod,29.95,83.76,996.7,12.01,1.52,33.25,43,Post-Monsoon,Cloudy
Idukki,27.21,85.37,1002.07,10.09,2.45,58.71,300,NorthEast Monsoon,Cloudy
Idukki,22.99,77.82,1009.78,8.79,0.04,65.61,179,SouthWest Monsoon,Cloudy
Malappuram,23.39,94.31,1019.02,8.3,2.15,40.21,312,NorthEast Monsoon,Cloudy
Alappuzha,27.93,78.24,1008.97,3.73,5.07,71.66,339,Post-Monsoon,Cloudy
Idukki,27.57,86.82,1015.09,13.29,1.12,51.25,211,SouthWest Monsoon,Cloudy
Kannur,29.35,78.06,1002.84,12.94,1.19,73.19,37,Post-Monsoon,Cloudy
Kollam,34.16,80.84,1007.62,6.76,0.85,63.48,11,Post-Monsoon,Cloudy
Malappuram,30.61,82.16,1006.29,9.22,1.36,36.29,107,Pre-Monsoon,Cloudy
Wayanad,28.61,66.37,1011.44,3.97,0.13,76.13,235,SouthWest Monsoon,Cloudy
Kollam,32.65,83.59,1014.38,12.99,19.19,44.63,220,SouthWest Monsoon,Rainy
Malappuram,29.45,81.36,1008.91,8.61,0.35,61.41,275,NorthEast Monsoon,Cloudy
Kasaragod,33.8,76.61,1008.09,7.12,6.51,84.87,326,NorthEast Monsoon,Cloudy
Alappuzha,26.98,73.96,1016.83,13.36,1.57,58.81,143,Pre-Monsoon,Cloudy
Kasaragod,25.56,76.87,1020.93,10.66,3.44,54.85,63,Post-Monsoon,Cloudy
Thrissur,23.0,73.5,1007.84,12.74,2.02,48.92,279,NorthEast Monsoon,Cloudy
Kasaragod,28.68,78.0,1009.55,7.05,17.64,24.71,213,SouthWest Monsoon,Rainy
Ernakulam,25.3,76.64,1011.33,3.48,2.22,38.39,153,SouthWest Monsoon,Cloudy
Wayanad,25.25,79.21,1011.98,7.07,2.97,59.86,364,Post-Monsoon,Cloudy
Palakkad,32.1,88.09,1011.17,9.36,22.41,48.97,114,Pre-Monsoon,Rainy
Kasaragod,23.83,74.73,999.9,10.2,0.52,76.3,175,SouthWest Monsoon,Cloudy
Thrissur,29.31,77.33,1012.12,7.12,1.75,49.02,270,SouthWest Monsoon,Cloudy
Kottayam,28.75,82.93,1019.71,7.58,2.43,43.7,20,Post-Monsoon,Cloudy
Kannur,29.28,74.16,1001.88,13.96,2.99,73.85,229,SouthWest Monsoon,Cloudy
Kollam,33.15,88.1,1002.0,9.01,15.77,62.19,314,NorthEast Monsoon,Rainy
Kottayam,26.52,74.28,1003.58,18.29,2.4,52.31,289,NorthEast Monsoon,Cloudy
Thrissur,33.15,83.08,1013.15,8.63,1.65,18.15,352,Post-Monsoon,Cloudy
Malappuram,23.72,90.5,1001.04,10.48,1.89,49.84,82,Post-Monsoon,Cloudy
Palakkad,30.95,74.13,1015.72,12.58,0.68,73.96,320,NorthEast Monsoon,Cloudy
Wayanad,33.43,75.6,1004.69,8.34,0.76,43.36,307,NorthEast Monsoon,Cloudy
Wayanad,20.0,78.39,1014.1,1.28,1.39,69.23,83,Post-Monsoon,Cloudy
Wayanad,28.89,82.15,1007.09,15.66,0.94,79.02,168,SouthWest Monsoon,Cloudy
Kannur,28.65,80.96,1006.34,9.41,2.06,30.29,273,NorthEast Monsoon,Cloudy
Palakkad,29.22,81.86,1012.47,8.72,0.76,56.4,300,NorthEast Monsoon,Cloudy
Kannur,34.13,86.05,1012.9,9.54,4.17,50.62,18,Post-Monsoon,Cloudy
Kannur,26.71,80.5,1006.17,13.49,15.04,46.35,254,SouthWest Monsoon,Rainy
Thiruvananthapuram,25.45,70.28,1011.31,11.7,3.45,53.49,281,NorthEast Monsoon,Cloudy
Palakkad,29.24,92.19,1013.31,5.42,2.96,88.41,362,Post-Monsoon,Rainy
Ernakulam,32.37,85.45,1000.62,10.02,1.03,36.54,245,SouthWest Monsoon,Cloudy
Palakkad,30.68,71.81,1009.65,10.02,1.26,47.68,84,Post-Monsoon,Cloudy
Thrissur,29.1,80.53,1009.56,6.82,4.86,80.48,116,Pre-Monsoon,Cloudy
Thiruvananthapuram,28.31,88.28,1000.8,5.16,0.63,45.81,164,SouthWest Monsoon,Cloudy
Wayanad,22.98,74.73,1009.96,6.35,0.97,63.84,46,Post-Monsoon,Cloudy
Thrissur,30.76,89.4,1009.72,7.86,4.4,61.27,324,NorthEast Monsoon,Cloudy
Thrissur,31.12,74.25,1014.13,6.49,6.64,100.0,132,Pre-Monsoon,Cloudy
Kozhikode,26.92,85.44,1012.33,12.85,14.23,94.67,187,SouthWest Monsoon,Rainy
Pathanamthitta,27.61,61.51,1017.03,16.3,0.97,74.9,328,NorthEast Monsoon,Cloudy
Thiruvananthapuram,25.86,89.55,1011.86,10.63,6.32,62.2,353,Post-Monsoon,Cloudy
Thrissur,31.6,66.91,1005.12,8.96,1.39,55.99,48,Post-Monsoon,Cloudy
Pathanamthitta,27.9,91.53,1007.74,5.21,0.87,27.56,121,Pre-Monsoon,Cloudy
Pathanamthitta,28.55,72.67,1015.01,7.54,8.6,81.28,240,SouthWest Monsoon,Cloudy
Thiruvananthapuram,30.89,97.07,1014.1,11.92,1.77,65.84,190,SouthWest Monsoon,Rainy
